"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Hauraki-Waikato","Waiheke Island","Waiheke Library, 2 Korora Road","Advance",0,2,1,0,0,20,0,44,2,5,4,3,0,0,2,0,83,0
"Hauraki-Waikato","Botany","Botany Library, Level 1, Sunset Terrace","Advance",0,0,0,0,0,0,0,9,1,5,2,1,0,0,0,0,18,1
"Hauraki-Waikato","Flat Bush","Ormiston PAK'nSAVE, 240 Ormiston Road","Advance",0,0,0,0,0,3,0,23,0,2,4,2,0,1,2,0,37,0
"Hauraki-Waikato","Coromandel","Coromandel Independent Living Trust, 45 Tiki Road","Advance",0,0,0,0,0,5,0,43,3,10,4,13,1,0,2,0,81,3
"Hauraki-Waikato","Ngatea","Hauraki District Council Office, 84 Orchard West Road","Advance",0,0,0,0,0,4,0,16,0,5,3,8,0,0,2,0,38,1
"Hauraki-Waikato","Paeroa","Hauraki District Council Office, corner Normanby Road & William Street","Advance",0,4,0,0,0,9,0,126,4,13,9,20,0,0,4,0,189,5
"Hauraki-Waikato","Tairua","Tairua Library, 2 Manaia Road","Advance",0,0,0,0,0,2,0,7,0,1,3,2,0,0,0,0,15,1
"Hauraki-Waikato","Te Aroha","Matamata-Piako District Council, Conference Room, 35 Kenrick Street","Advance",0,0,0,0,0,5,0,34,0,3,8,5,0,0,2,0,57,2
"Hauraki-Waikato","Thames","Thames Civic Centre Conference Room, 200 Mary Street","Advance",0,2,1,0,0,15,0,122,1,12,19,20,0,0,4,0,196,4
"Hauraki-Waikato","Waihi","Hauraki District Council Office, 40 Rosemont Road","Advance",0,2,0,0,0,8,0,77,1,11,12,10,0,0,2,0,123,3
"Hauraki-Waikato","Whangamata","Whangamata Memorial Hall, 328 Port Road","Advance",1,0,0,0,0,3,0,39,0,4,15,9,0,0,1,0,72,6
"Hauraki-Waikato","Whitianga","Thames Coromandel District Council Conference Room, 10 Monk Street","Advance",0,0,0,0,0,5,0,23,1,4,9,8,0,0,1,0,51,2
"Hauraki-Waikato","Whitianga","Hospital & Rest Homes Team 2 - Taken in Coromandel","Advance",0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,6,0
"Hauraki-Waikato","Chartwell","Chartwell Shopping Centre, Ground Floor, opposite Robert Harris, 201 Hukanui Road","Advance",0,6,0,1,0,36,0,479,4,84,49,51,1,0,17,0,728,7
"Hauraki-Waikato","Claudelands","Settlement Centre Waikato, Claudelands Park","Advance",0,1,0,0,0,21,0,185,0,29,9,12,0,0,5,0,262,1
"Hauraki-Waikato","Hamilton East","Kirikiriroa Marae, 951 Wairere Drive","Advance",0,2,0,0,0,10,0,125,4,55,3,11,1,0,8,0,219,4
"Hauraki-Waikato","Hamilton East","St John's Methodist Church Centre, 20 Wellington Street","Advance",0,1,0,0,0,11,0,85,2,15,9,10,1,0,2,0,136,1
"Hauraki-Waikato","Hillcrest","University of Waikato, Gate 5, 164 Hillcrest Road","Advance",1,1,1,0,0,29,0,114,4,46,9,5,0,0,12,0,222,2
"Hauraki-Waikato","Hillcrest","Hospital & Rest Homes Team - Taken in Hamilton East","Advance",0,0,0,0,0,1,0,7,0,1,0,3,0,0,0,0,12,1
"Hauraki-Waikato","Frankton","Forlongs Building, 156 Commerce Street","Advance",0,0,0,0,0,2,0,32,3,11,0,2,0,0,1,0,51,4
"Hauraki-Waikato","Glenview","Glenview Shopping Centre, Aspeq Exam Venue (Shop 11), Ohaupo Road","Advance",0,2,0,0,0,6,0,103,1,15,7,14,0,0,6,0,154,3
"Hauraki-Waikato","Glenview","Te Wānanga o Aotearoa, Mangakōtukutuku Campus, 254 Ohaupo Road","Advance",0,0,0,0,0,5,0,39,0,28,1,1,0,0,2,0,76,1
"Hauraki-Waikato","Hamilton Central","Centre Place (between 2° and Emma Rose), Bryce Street entrance","Advance",0,9,0,0,0,34,0,252,4,54,24,30,1,0,18,0,426,7
"Hauraki-Waikato","Hamilton Central","Hamilton Night Markets, Kmart carpark, Bryce Street","Advance",0,0,0,0,0,3,0,11,0,7,0,0,0,0,1,0,22,0
"Hauraki-Waikato","Hamilton Central","Wintec City Campus, Gallagher Hub, Lounge Area, corner Anglesea & Ward Streets","Advance",0,0,0,0,0,3,0,33,1,13,1,2,0,0,1,0,54,0
"Hauraki-Waikato","Melville","Hamilton South Baptist Church, 131 Ohaupo Road","Advance",0,0,0,0,0,2,0,27,1,10,1,1,0,0,1,0,43,0
"Hauraki-Waikato","Melville","Melville High School, Te Manaakitanga Marae, 6 Collins Road","Advance",0,0,0,0,0,1,0,10,2,3,1,1,0,0,0,0,18,0
"Hauraki-Waikato","Melville","Melville Methodist Church Hall, 4 Bader Street","Advance",0,0,0,0,0,4,0,52,1,8,4,5,0,0,1,0,75,1
"Hauraki-Waikato","Nawton","Western Community Centre, 46 Hyde Avenue","Advance",0,5,0,0,0,27,0,409,7,64,27,31,1,0,20,0,591,15
"Hauraki-Waikato","Te Rapa","Te Awa, The Base, between Burger Fuel and Toyworld, Maahanga Drive","Advance",0,2,1,0,0,25,0,245,1,53,30,34,0,0,17,0,408,4
"Hauraki-Waikato","Te Rapa","Te Wānanga o Aotearoa, Raroera Campus, 510-514 Te Rapa Road","Advance",0,0,0,0,0,2,0,57,1,17,4,1,0,0,5,0,87,2
"Hauraki-Waikato","Te Rapa","Wintec Rotokauri Campus, S Block Foyer, Gilchrist Street","Advance",0,0,0,0,0,1,0,4,0,1,2,2,0,0,1,0,11,0
"Hauraki-Waikato","Te Rapa","Hospital & Rest Homes Team - Taken in Hamilton West","Advance",0,0,0,0,0,4,0,31,0,6,4,2,0,0,0,0,47,3
"Hauraki-Waikato","Clevedon","Clevedon District Centre, 2 North Road","Advance",0,1,0,0,0,1,0,13,0,4,4,5,0,0,0,0,28,1
"Hauraki-Waikato","Pukekohe","Pukekohe Netball Centre, Bledisloe Park, Queen Street","Advance",0,2,0,0,0,9,0,97,2,20,26,38,0,0,7,0,201,3
"Hauraki-Waikato","Pukekohe","Pukekohe Worship & Community Centre, 1 Tobin Street","Advance",1,0,0,0,0,3,0,102,2,18,11,15,0,0,0,0,152,4
"Hauraki-Waikato","Waiuku","Waiuku Netball Centre, Kitchener Road","Advance",0,3,0,0,0,6,0,105,2,18,32,20,0,0,3,0,189,4
"Hauraki-Waikato","Whitford","Whitford Hall, 1 Whitford-Maraetai Road","Advance",1,0,0,0,0,5,0,11,0,0,7,3,0,0,2,0,29,0
"Hauraki-Waikato","Whitford","Hospital & Rest Homes Team - Taken in Hunua","Advance",0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,6,0
"Hauraki-Waikato","Manurewa","Manurewa Library, 7 Hill Road","Advance",0,3,0,0,0,10,0,89,0,12,6,7,0,0,2,0,129,2
"Hauraki-Waikato","Manurewa","Manurewa Methodist Church Main Hall, 224-226 Great South Road","Advance",0,0,0,0,0,1,0,39,0,2,2,3,0,0,0,0,47,1
