"Electorate","Place","Address","Type","ACT New Zealand","Advance NZ","Aotearoa Legalise Cannabis Party","Green Party","HeartlandNZ","Labour Party","Māori Party","National Party","New Conservative","New Zealand First Party","NZ Outdoors Party","ONE Party","Social Credit","Sustainable New Zealand Party","TEA Party","The Opportunities Party (TOP)","Vision New Zealand","Total Valid Party Votes","Informal Party Votes"
"Hauraki-Waikato","Botany","Botany Library, Level 1, Sunset Terrace","Advance",0,0,0,1,0,5,1,2,0,1,0,0,0,0,0,0,0,10,0
"Hauraki-Waikato","Coromandel","Coromandel Citizen's Hall, 455 Kapanga Road","Advance",0,4,0,10,0,95,24,6,0,3,1,0,0,0,0,1,0,144,3
"Hauraki-Waikato","Kaiaua","Kaiaua School, 1061 East Coast Road","Advance",0,0,0,0,0,12,3,2,0,1,0,0,0,0,0,1,0,19,0
"Hauraki-Waikato","Ngatea","Ngatea War Memorial Hall, 66 Orchard West Road","Advance",1,2,0,4,0,37,10,4,0,1,0,0,0,0,0,3,0,62,0
"Hauraki-Waikato","Paeroa","Paeroa Memorial Hall, 144 Normanby Road","Advance",3,10,3,19,0,204,25,6,1,17,0,1,0,0,0,3,1,293,7
"Hauraki-Waikato","Tairua","Tairua Community Hall, 210 Main Road","Advance",0,0,0,2,0,13,2,2,0,2,0,0,0,0,0,0,0,21,2
"Hauraki-Waikato","Thames","Thames Civic Centre Auditorium, 200 Mary Street","Advance",1,6,6,16,0,166,13,12,0,13,0,0,0,0,0,2,0,235,11
"Hauraki-Waikato","Thames","Thames High School, 300 Sealy Street","Advance",1,1,0,2,0,17,1,2,0,1,0,0,0,0,0,0,0,25,1
"Hauraki-Waikato","Thames","Thames South School, Corner Grey & Rolleston Streets","Advance",0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,7,0
"Hauraki-Waikato","Thames","Waihi Memorial Hall, 41 Seddon Street","Advance",1,1,2,13,0,139,12,9,2,8,2,1,0,0,0,3,1,194,4
"Hauraki-Waikato","Waihi Beach","Waihi Beach Community Centre, 102 Beach Road","Advance",0,1,1,2,0,10,3,1,0,0,0,0,0,0,0,0,0,18,0
"Hauraki-Waikato","Whangamatā","Whangamata Rugby & Sports Club, 135 Aicken Road","Advance",1,0,1,9,0,67,9,5,0,2,0,0,0,0,0,1,0,95,2
"Hauraki-Waikato","Whitianga","Crossroads Encounter Fellowship, 36 Cook Drive","Advance",1,3,0,2,0,34,4,5,0,3,0,0,0,0,0,0,0,52,2
"Hauraki-Waikato","Whitianga","Thames Coromandel District Council Conference Room, 10 Monk Street","Advance",2,3,0,10,0,21,2,2,0,3,0,0,0,0,0,0,0,43,1
"Hauraki-Waikato","Chartwell","Chartwell Shopping Centre, Second Floor, opposite customer services desk, 201 Hukanui Road","Advance",4,10,2,33,0,264,57,14,0,12,0,1,0,0,0,4,6,407,6
"Hauraki-Waikato","Chartwell","Fairfield College, 25 Bankwood Road","Advance",0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,9,0
"Hauraki-Waikato","Chartwell","Life & Light Community Centre, 703 Wairere Drive","Advance",0,0,0,5,0,18,1,0,0,0,0,0,0,0,0,3,0,27,0
"Hauraki-Waikato","Chartwell","Lynden Court, 7/13 Lynden Court","Advance",0,9,6,19,0,263,34,8,1,10,0,5,0,0,0,4,4,363,10
"Hauraki-Waikato","Claudelands","Claudelands, The Grandstand, Gate 2, 800 Heaphy Terrace","Advance",2,14,6,43,0,255,60,12,1,18,0,0,0,0,0,4,4,419,2
"Hauraki-Waikato","Claudelands","Peachgrove Intermediate School, 72 Peachgrove Road","Advance",0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,1,0,9,0
"Hauraki-Waikato","Enderley","Insoll Avenue School, 95 Insoll Avenue","Advance",0,1,0,0,0,16,1,1,0,0,0,0,0,0,0,1,0,20,0
"Hauraki-Waikato","Enderley","Te Kura Kaupapa Māori O Te Ara Rima School, 33 Fifth Avenue","Advance",1,0,0,0,0,11,8,0,0,1,0,0,0,0,0,0,0,21,1
"Hauraki-Waikato","Fairfield","Fairfield Intermediate School, 261 Clarkin Road","Advance",1,0,1,0,0,9,2,0,0,0,0,0,0,0,0,1,0,14,0
"Hauraki-Waikato","Fairfield","Suburbs Community Sports Club, 18 Commodore Avenue","Advance",1,4,1,5,0,40,3,4,0,2,0,0,0,0,0,2,2,64,2
"Hauraki-Waikato","Fairfield","Kirikiriroa Marae, 951 Wairere Drive","Advance",0,8,2,18,0,161,82,1,0,8,0,0,0,0,0,3,10,293,8
"Hauraki-Waikato","Fairfield","St John's Methodist Church Centre, 20 Wellington Street","Advance",2,1,4,18,0,105,23,5,0,4,0,0,0,1,0,6,1,170,4
"Hauraki-Waikato","Hillcrest","Hillcrest Baptist Church Hall, Corner Knighton Road & Clyde Street","Advance",2,4,3,19,0,96,19,7,0,8,0,0,0,1,0,1,0,160,0
"Hauraki-Waikato","Hillcrest","Knighton Normal School, 45 Knighton Road","Advance",0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,7,0
"Hauraki-Waikato","Hillcrest","University of Waikato, Gate 1, Knighton Road","Advance",0,0,1,60,0,91,34,3,0,4,0,0,0,0,0,4,1,198,1
"Hauraki-Waikato","Hillcrest","Rototuna Shopping Centre, helloworld, 12/44 Horsham Downs Road","Advance",2,8,3,7,0,117,15,13,0,6,0,1,0,0,0,1,3,176,1
"Hauraki-Waikato","Silverdale","Hillcrest High School, 141 Masters Avenue","Advance",0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0
"Hauraki-Waikato","Deanwell","Deanwell School, 49 Deanwell Avenue","Advance",1,1,1,1,0,16,1,2,1,1,0,0,0,0,0,1,0,26,0
"Hauraki-Waikato","Dinsdale","Rhode Street School, 7 Rhode Street","Advance",0,0,1,0,0,26,3,0,0,3,0,0,0,0,0,0,0,33,0
"Hauraki-Waikato","Dinsdale","St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road","Advance",0,0,0,0,0,13,1,0,0,1,0,0,0,0,0,0,0,15,0
"Hauraki-Waikato","Flagstaff","Te Ao Mārama, 33 Hare Puke Drive","Advance",0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,6,0
"Hauraki-Waikato","Frankton","Forlongs Building (entry from Kent Street), Corner of Hall & Kent Streets","Advance",3,12,7,32,0,344,52,5,2,16,1,2,1,0,0,7,2,486,8
"Hauraki-Waikato","Glenview","Glenview Community Centre, 12 Tomin Road","Advance",1,3,2,15,0,132,27,1,0,6,0,1,0,0,0,4,4,196,1
"Hauraki-Waikato","Glenview","Te Wānanga o Aotearoa, Mangakōtukutuku Campus, 254 Ohaupo Road","Advance",1,0,0,6,0,13,7,0,0,1,0,0,0,0,0,1,1,30,0
"Hauraki-Waikato","Hamilton Central","311 Victoria Street, (formerly WINZ Community Hub)","Advance",0,1,1,26,0,128,26,8,1,7,0,0,0,0,0,6,0,204,2
"Hauraki-Waikato","Hamilton Central","Wintec City Campus, Gallagher Hub, Lounge Area, Corner Anglesea & Ward Streets","Advance",0,1,1,2,0,14,1,1,1,0,0,0,0,0,0,0,0,21,0
"Hauraki-Waikato","Hamilton Lake","Meade Clinical Centre, Waikato Hospital, Pembroke Street","Advance",0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,1,2,25,0
"Hauraki-Waikato","Hamilton Lake","The Verandah, Lake Domain Drive","Advance",1,2,0,7,0,78,15,2,0,6,1,0,0,0,0,1,1,114,1
"Hauraki-Waikato","Melville","Melville Community Hall, 84 Ohaupo Road","Advance",1,6,2,5,0,64,13,2,0,3,0,0,0,0,0,1,1,98,4
"Hauraki-Waikato","Melville","Melville Methodist Church Hall, 4 Bader Street","Advance",2,5,3,9,0,96,22,6,1,8,1,0,0,0,0,0,1,154,3
"Hauraki-Waikato","Melville","Te Manaakitanga Marae, Melville High School, 6 Collins Road","Advance",1,2,2,6,0,39,4,2,0,0,0,0,0,0,0,1,1,58,1
"Hauraki-Waikato","Nawton","Good News Community Centre, 78 Breckons Avenue","Advance",3,4,8,6,0,163,30,4,0,8,0,0,0,0,0,3,5,234,6
