"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Auckland Central","Auckland City","Atrium, Takutai Square","Advance",14,1,0,0,0,188,0,424,0,7,562,39,1,1,32,2,1271,4
"Auckland Central","Auckland City","Auckland University, AUSA Club Space, The Quad, Alfred Street","Advance",13,1,0,1,0,260,1,365,0,4,198,27,0,0,42,1,913,1
"Auckland Central","Auckland City","AUT University, Level 4 Library Foyer, WA Building, 55 Wellesley Street East","Advance",7,1,0,3,0,112,0,303,0,1,207,32,0,0,18,1,685,2
"Auckland Central","Auckland City","Liston House, 30-32 Hobson Street","Advance",10,1,0,0,0,58,0,230,0,5,309,17,1,0,16,1,648,3
"Auckland Central","Freemans Bay","Victoria Park New World, 2 College Hill","Advance",18,7,0,3,0,167,0,525,0,4,874,39,1,0,36,0,1674,2
"Auckland Central","Freemans Bay","Auckland Hospital Mobile & Advance Voting","Advance",3,0,0,0,0,25,0,64,0,1,60,4,0,0,5,0,162,1
"Auckland Central","Grey Lynn","Grey Lynn Community Centre, Oval Room, 510 Richmond Road","Advance",4,0,0,1,1,86,0,245,0,3,249,20,0,0,16,0,625,0
"Auckland Central","Grey Lynn","Grey Lynn Library Hall, 474 Great North Road","Advance",2,0,0,0,0,62,0,117,0,1,94,4,0,0,5,0,285,0
"Auckland Central","Mangere","Auckland International Airport Terminal, International Departure Lounge","Advance",0,0,0,0,0,6,0,13,0,0,27,0,0,0,4,0,50,0
"Auckland Central","Mt Albert","UNITEC, Te Puna Building, Student Drop in Space, Level 1, 139 Carrington Road","Advance",0,1,0,0,0,4,0,9,0,0,10,0,0,0,0,0,24,0
"Auckland Central","Mt Eden","University of Auckland, Epsom Campus, Music Auditorium, 74 Epsom Avenue (Gate 3)","Advance",0,0,0,0,0,6,0,14,0,0,14,0,0,0,2,0,36,0
"Auckland Central","Northcote","AUT North Campus, AH201, Sport & Fitness Centre, 90 Akoranga Drive","Advance",0,0,0,0,0,0,0,8,0,0,11,2,0,0,1,0,22,0
"Auckland Central","Parnell","Parnell Community Centre, Jubilee Room, 545 Parnell Road","Advance",5,0,0,0,0,26,0,81,0,6,116,8,0,0,7,0,249,0
"Auckland Central","Ponsonby","All Saints Anglican Church, 284 Ponsonby Road","Advance",16,2,0,2,1,210,0,592,1,7,840,36,0,0,38,0,1745,5
"Auckland Central","Remuera","Remuera Bowling Club, 5 Dromorne Road","Advance",0,0,0,0,0,3,0,12,0,1,27,1,0,0,2,0,46,0
"Auckland Central","Remuera","St Mark's Church Hall, 95 Remuera Road","Advance",2,0,0,0,0,6,0,23,0,0,23,4,0,0,1,0,59,0
"Auckland Central","St Lukes","St Lukes Westfield, Centre Court, 80 St Lukes Road","Advance",1,0,0,0,0,18,0,83,0,1,94,8,0,0,3,0,208,0
"Auckland Central","Waiheke Island","Waiheke Library, 2 Korora Road","Advance",14,6,1,0,0,349,0,902,0,2,660,195,1,1,32,1,2164,6
"Auckland Central","Waiheke Island","Hospital & Rest Homes Team - Taken in Auckland Central","Advance",0,0,0,0,0,1,0,5,0,0,6,1,0,0,0,0,13,0
"Auckland Central","Auckland City","Atrium, Takutai Square","Regular",9,2,0,0,0,65,0,154,0,2,215,15,0,0,18,1,481,1
"Auckland Central","Auckland City","Auckland High Court, corner Waterloo Quadrant & Parliament Street","Regular",6,2,1,0,0,70,0,191,0,4,195,16,0,0,21,1,507,1
"Auckland Central","Auckland City","Auckland University, AUSA Club Space, The Quad, Alfred Street","Regular",6,1,0,2,0,41,0,100,1,0,57,2,0,1,10,0,221,0
"Auckland Central","Auckland City","AUT Wellesley Campus, Building WA, Conference Room, Gate 2, 55 Wellesley Street","Regular",3,1,0,1,0,42,0,116,0,0,125,17,0,0,10,0,315,0
"Auckland Central","Auckland City","Liston House, 30-32 Hobson Street","Regular",4,1,0,0,0,44,0,152,1,3,190,22,1,1,18,1,438,3
"Auckland Central","Auckland City","Methodist Church, Wesley Hall, 78 Pitt Street","Regular",7,0,1,6,1,78,0,280,1,1,229,19,3,0,16,2,644,3
"Auckland Central","Auckland City","Viaduct Events Centre, 161 Halsey Street","Regular",8,0,0,0,0,25,0,68,0,0,118,8,0,0,7,0,234,1
"Auckland Central","Epsom","Auckland Grammar School Old Boys Centre, Gate 4, 85 Mountain Road","Regular",0,0,0,0,0,2,0,10,0,0,20,0,0,0,3,0,35,0
"Auckland Central","Freemans Bay","Freemans Bay Community Centre, Function Room, 52 Hepburn Street","Regular",7,2,0,0,0,105,1,306,0,2,226,19,0,0,16,0,684,1
"Auckland Central","Grafton","Auckland City Hospital, Foyer, 2 Park Road","Regular",2,0,0,1,0,32,0,62,0,2,61,4,0,0,6,0,170,0
