Electorate,Place,Address,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
"Auckland Central","Auckland City","159 Nelson Street, Corner Nelson & Union Streets",3,0,0,14,0,55,0,34,2,2,0,0,0,0,0,3,0,113,2
"Auckland Central","Auckland City","Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",17,1,0,39,0,109,1,54,4,4,0,0,0,0,0,8,0,237,1
"Auckland Central","Auckland City","Auckland Chinese Presbyterian Church, 105 Vincent Street",3,0,0,4,0,32,0,10,1,0,0,0,0,1,1,0,0,52,1
"Auckland Central","Auckland City","Auckland High Court, 24 Waterloo Quadrant (corner Waterloo Quadrant & Parliament Street)",30,0,0,75,0,190,0,88,4,8,0,0,0,2,1,23,0,421,2
"Auckland Central","Auckland City","Level 3 Atrium on Elliot, Elliot Street",9,0,0,10,0,54,0,38,1,4,0,0,0,0,0,1,0,117,1
"Auckland Central","Auckland City","Liston Hall, 30-32 Hobson Street",24,4,0,26,0,75,0,72,1,8,0,0,0,0,0,6,0,216,2
"Auckland Central","Auckland City","Methodist Church, Wesley Hall, 78 Pitt Street",21,0,0,40,0,106,0,37,3,4,0,0,0,0,0,5,0,216,1
"Auckland Central","Auckland City","Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",29,0,1,46,0,113,0,58,0,3,0,0,0,0,0,11,1,262,4
"Auckland Central","Freemans Bay","Freemans Bay Primary School, 95 Wellington Street",29,0,0,66,1,125,2,63,0,6,0,1,0,0,0,6,0,299,0
"Auckland Central","Grafton","St David's Presbyterian Church Hall, 70 Khyber Pass Road",32,1,0,47,0,108,1,60,1,3,0,0,0,0,0,16,1,270,1
"Auckland Central","Great Barrier Island","Aotea Community Art Gallery, Schoolmaster's House, 80 Hector Sanderson Road",9,14,1,27,0,90,0,41,3,11,0,0,0,1,0,5,0,202,1
"Auckland Central","Great Barrier Island","Aotea Health, Nurses Cottage, 2077 Aotea Road",4,0,0,8,0,28,0,8,0,3,0,0,0,0,0,1,0,52,0
"Auckland Central","Great Barrier Island","Okiwi School, 1606-1608 Aotea Road",2,0,0,6,0,16,1,5,0,1,0,0,0,1,0,0,0,32,0
"Auckland Central","Great Barrier Island","Tryphena Mulberry Grove School, 271 Shoal Bay Road",10,8,0,27,0,100,1,23,1,5,2,0,0,0,1,0,0,178,4
"Auckland Central","Great Barrier Island","Grey Lynn Community Centre, 510 Richmond Road",2,1,0,8,0,27,1,10,0,0,0,0,0,0,0,3,0,52,0
"Auckland Central","Great Barrier Island","Grey Lynn Library Hall, 474 Great North Road",3,0,0,5,0,8,1,17,0,0,0,0,0,0,0,0,0,34,0
"Auckland Central","Great Barrier Island","Newton Central School, 15-19 Monmouth Street",6,1,0,25,0,33,0,9,1,1,0,0,0,0,0,3,0,79,0
"Auckland Central","Great Barrier Island","Richmond Road School, 113 Richmond Road",16,0,0,36,0,81,0,43,0,9,0,0,0,1,0,8,0,194,0
"Auckland Central","Great Barrier Island","St Columba Church and Community Hall, 92 Surrey Crescent",0,0,0,3,0,7,0,1,1,1,0,0,0,0,0,0,0,13,0
"Auckland Central","Herne Bay","Bayfield School, 2 Clifton Road",72,2,0,56,0,236,0,266,1,10,0,0,0,0,0,12,0,655,2
"Auckland Central","Kingsland","Congregational Christian Church of Samoa, 50 Bond Street",1,1,0,13,0,20,0,13,1,5,0,0,0,0,0,3,0,57,0
"Auckland Central","Kingsland","Kowhai Intermediate School, 26 Onslow Road",3,1,0,7,0,28,0,10,0,1,0,0,0,1,0,0,0,51,0
"Auckland Central","Mt Eden","Auckland Grammar School Hockey Centre, 3/25 Normanby Road",1,0,1,2,0,11,0,6,0,0,0,0,0,0,0,0,0,21,0
"Auckland Central","Mt Eden","Mt Eden Normal Primary School, 73 Valley Road",1,1,0,0,0,12,0,7,0,0,0,0,0,0,0,1,0,22,0
"Auckland Central","Mt Eden","Valley Road International Church Hall, 393 Mt Eden Road",2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,7,0
"Auckland Central","Newmarket","Newmarket Mall, S212, Level 2, 309 Broadway",6,0,0,10,0,31,0,13,0,0,0,0,0,1,0,1,0,62,0
"Auckland Central","Newton","Unitarian Church Hall, 1A Ponsonby Road",10,0,0,33,0,58,0,29,1,0,0,0,0,1,0,3,0,135,0
"Auckland Central","Parnell","Parnell Community Centre, Jubilee Hall, 545 Parnell Road",7,0,0,3,0,11,1,11,0,0,0,0,0,0,0,1,0,34,0
"Auckland Central","Parnell","Parnell District School Hall, 48 St Stephens Avenue",9,0,0,4,0,26,0,19,1,0,0,0,0,0,0,2,0,61,0
