"Electorate","Place","Address","Type","ACT New Zealand","Advance NZ","Aotearoa Legalise Cannabis Party","Green Party","HeartlandNZ","Labour Party","Māori Party","National Party","New Conservative","New Zealand First Party","NZ Outdoors Party","ONE Party","Social Credit","Sustainable New Zealand Party","TEA Party","The Opportunities Party (TOP)","Vision New Zealand","Total Valid Party Votes","Informal Party Votes"
"Auckland Central","Auckland City","159 Nelson Street, Corner Nelson & Union Streets","Advance",13,0,1,80,0,183,0,67,1,2,0,0,0,0,2,13,0,362,2
"Auckland Central","Auckland City","Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD","Advance",56,3,4,446,0,712,5,246,9,20,1,1,0,6,3,57,1,1570,12
"Auckland Central","Auckland City","ASB Waterfront Theatre, 138 Halsey Street","Advance",57,2,0,57,0,132,3,127,3,7,0,0,0,3,0,13,0,404,1
"Auckland Central","Auckland City","Auckland Chinese Presbyterian Church, 105 Vincent Street","Advance",8,0,0,49,0,78,0,25,1,3,0,2,0,0,1,4,0,171,1
"Auckland Central","Auckland City","Level 3 Atrium on Elliot, Elliot Street","Advance",72,2,2,251,0,684,4,218,14,27,0,0,0,2,0,31,0,1307,8
"Auckland Central","Auckland City","Liston Hall, 30-32 Hobson Street","Advance",95,2,0,133,0,412,5,236,5,13,0,0,0,0,2,22,0,925,6
"Auckland Central","Auckland City","Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place","Advance",166,6,1,579,0,910,4,374,9,16,1,0,1,8,5,55,0,2135,0
"Auckland Central","Freemans Bay","Freemans Bay Primary School, 95 Wellington Street","Advance",29,0,0,104,0,200,0,63,1,4,0,0,0,0,0,11,0,412,0
"Auckland Central","Grafton","St David's Presbyterian Church Hall, 70 Khyber Pass Road","Advance",58,0,1,228,0,421,0,163,10,7,0,1,0,2,2,19,0,912,4
"Auckland Central","Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road","Advance",34,3,0,109,0,275,0,151,2,9,0,0,0,0,0,14,0,597,3
"Auckland Central","Grey Lynn","Grey Lynn Library Hall, 474 Great North Road","Advance",26,1,1,127,0,178,0,81,1,4,0,0,0,0,0,6,0,425,0
"Auckland Central","Grey Lynn","Newton Central School, 15-19 Monmouth Street","Advance",1,0,0,20,0,27,0,4,2,1,0,0,0,0,0,0,0,55,0
"Auckland Central","Grey Lynn","Richmond Road School, 113 Richmond Road","Advance",14,0,0,54,0,64,0,35,0,0,0,0,0,0,0,3,0,170,1
"Auckland Central","Herne Bay","Bayfield School, 2 Clifton Road","Advance",55,3,0,70,0,155,1,169,0,12,0,0,0,0,0,6,0,471,0
"Auckland Central","Hobsonville Point","Catalina Bay (building opposite Farmers Market), Hobsonville Point, Hudson Bay Road Extension","Advance",2,0,1,4,0,5,0,4,0,0,0,0,0,0,0,1,0,17,0
"Auckland Central","Kingsland","Congregational Christian Church of Samoa, 50 Bond Street","Advance",16,1,1,95,0,106,1,26,1,3,0,0,0,0,0,2,0,252,0
"Auckland Central","Kingsland","Kowhai Intermediate School, 26 Onslow Road","Advance",6,0,0,20,0,34,0,18,0,2,0,0,0,0,1,3,0,84,0
"Auckland Central","Mt Albert","Ramblers Softball Club, 7 Cornwallis Street","Advance",1,0,0,7,0,18,0,10,0,3,0,0,0,0,0,0,0,39,0
