"Sample","Collected","Trap","Line","Sex","Age","Weight.gms","SexualStatus.p.l","HBL.mm","Comments","Head.mm"
NA,"6/05/2003",4,"A",0,0,20.5,NA,80,NA,"ss"
NA,"6/05/2003",6,"A",0,1,23,NA,81,NA,"ss"
NA,"6/05/2003",7,"A",1,1,22,"l",76,"damp","10.6"
NA,"6/05/2003",20,"A",0,0,10.5,NA,59,NA,"9.1"
NA,"6/05/2003",25,"A",0,1,18.5,NA,77,NA,"9.6"
NA,"6/05/2003",28,"A",1,1,20,NA,79,NA,"10.5"
NA,"6/05/2003",29,"A",1,1,13,NA,66,NA,"ss"
NA,"6/05/2003",32,"A",0,0,17,NA,70,NA,"10.5"
NA,"6/05/2003",33,"A",0,0,17,NA,76,"lots of haemorrhaging, stomach not attached to anything","ss"
NA,"6/05/2003",34,"A",0,0,17,NA,71,NA,"9.1"
NA,"6/05/2003",35,"A",1,0,13.5,NA,71,NA,"ss"
NA,"6/05/2003",37,"A",0,0,11,NA,61,"nose totally smashed, HBL probably a bit short","ss"
NA,"6/05/2003",39,"A",0,0,13,NA,65,NA,"9.2"
NA,"7/05/2003",2,"A",0,1,18.5,NA,79,NA,NA
NA,"7/05/2003",3,"A",0,1,19,NA,74,NA,NA
NA,"7/05/2003",4,"A",1,0,9,NA,54.5,NA,NA
NA,"7/05/2003",5,"A",0,0,13,NA,70,NA,NA
NA,"7/05/2003",6,"A",0,0,12.5,NA,61,NA,NA
NA,"7/05/2003",7,"A",0,0,8,NA,58,NA,NA
NA,"7/05/2003",8,"A",0,0,7,NA,57,NA,NA
NA,"7/05/2003",9,"A",1,0,12,NA,69,NA,"ss"
NA,"7/05/2003",10,"A",1,0,19,NA,83,NA,"ss"
NA,"7/05/2003",23,"A",0,0,17.5,NA,76.5,NA,NA
NA,"7/05/2003",25,"A",0,1,26.5,NA,89,NA,"ss"
NA,"7/05/2003",28,"A",0,1,21,NA,78,NA,NA
NA,"7/05/2003",29,"A",1,1,21.5,NA,78,NA,"ss"
NA,"7/05/2003",31,"A",0,0,15,NA,72,NA,"ss"
NA,"7/05/2003",32,"A",1,1,16.5,"l",74,NA,"ss"
NA,"7/05/2003",33,"A",0,1,19.5,NA,83,NA,NA
NA,"7/05/2003",34,"A",0,0,13,NA,68,NA,NA
NA,"7/05/2003",36,"A",0,1,22,NA,86,NA,"ss"
NA,"7/05/2003",38,"A",0,0,11.5,NA,65,NA,NA
NA,"7/05/2003",39,"A",0,0,12,NA,70,NA,NA
NA,"8/05/2003",1,"A",0,0,7.5,NA,50,NA,"8.3"
NA,"8/05/2003",4,"A",0,0,8.5,NA,58,NA,"ss"
NA,"8/05/2003",5,"A",1,0,24,NA,76,NA,NA
NA,"8/05/2003",6,"A",0,0,16,NA,71,NA,"10.2"
NA,"8/05/2003",7,"A",1,0,21.5,NA,80,NA,"ss"
NA,"8/05/2003",8,"A",0,0,13.5,NA,64,NA,"9.3"
NA,"8/05/2003",9,"A",0,1,12.5,NA,76,NA,"ss"
NA,"8/05/2003",20,"A",0,1,20,NA,80,NA,"10.2"
NA,"8/05/2003",25,"A",1,1,22.5,NA,86,NA,"10.8"
NA,"8/05/2003",27,"A",0,0,16,NA,77,NA,"9.4"
NA,"8/05/2003",28,"A",1,0,22,NA,84,NA,"ss"
NA,"8/05/2003",29,"A",1,0,13,NA,69,NA,"9.3"
NA,"8/05/2003",30,"A",0,1,15,NA,67,NA,"9.7"
NA,"8/05/2003",31,"A",1,1,11,NA,60,NA,"9.3"
NA,"8/05/2003",32,"A",0,0,14,NA,65,NA,"ss"
NA,"8/05/2003",33,"A",0,0,12,NA,74,NA,"ss"
NA,"8/05/2003",34,"A",1,0,10,NA,65,NA,"ss"
NA,"8/05/2003",35,"A",0,0,11,NA,63,NA,"9.1"
NA,"8/05/2003",39,"A",1,0,12.5,NA,69,NA,"8.6"
NA,"8/05/2003",40,"A",0,0,10.5,NA,62,NA,"8.9"
NA,"17/06/2003",2,"A",0,0,18,NA,84,NA,"10.3"
NA,"17/06/2003",3,"A",0,0,23,NA,97,NA,"11.2"
NA,"17/06/2003",7,"A",0,0,21,NA,78,NA,"10.5"
NA,"17/06/2003",8,"A",1,0,9.5,NA,65,NA,"4.4"
NA,"17/06/2003",17,"A",1,0,15,NA,71,NA,"4.5"
NA,"17/06/2003",22,"A",0,1,19,NA,79,NA,"10.3"
NA,"17/06/2003",24,"A",1,0,19,NA,82,"wet","ss"
NA,"17/06/2003",27,"A",1,0,16,NA,73,NA,"9.8"
NA,"17/06/2003",30,"A",1,1,17.5,NA,74,"wet","10"
NA,"17/06/2003",31,"A",1,1,18.5,NA,79,NA,"10.4"
NA,"17/06/2003",32,"A",0,0,15,NA,74,NA,"10.5"
NA,"17/06/2003",33,"A",1,0,14,NA,73,NA,"ss"
NA,"17/06/2003",34,"A",0,0,12,NA,71,NA,"ss"
NA,"17/06/2003",35,"A",1,1,16,NA,76,"tatty","9.8"
NA,"17/06/2003",38,"A",1,1,16.5,NA,76,"mitey","10.2"
NA,"17/06/2003",39,"A",0,0,13.5,NA,70,"wet","9.6"
NA,"17/06/2003",40,"A",1,0,12.5,NA,70,"mitey","9"
NA,"15/07/2003",2,"A",1,1,12,NA,67,"wet","10"
NA,"15/07/2003",3,"A",0,0,14,NA,74,"wet","ss"
NA,"15/07/2003",4,"A",0,0,15,NA,71,NA,"ss"
NA,"15/07/2003",5,"A",0,1,15,NA,74,"wet","10.4"
NA,"15/07/2003",6,"A",0,1,18,NA,71,"wet","10.2"
NA,"15/07/2003",7,"A",0,0,8,NA,60,"wet","ss"
NA,"15/07/2003",8,"A",0,0,12,NA,69,NA,"ss"
NA,"15/07/2003",13,"A",0,0,11,NA,65,NA,"10"
NA,"15/07/2003",18,"A",0,1,19,NA,78,"wet","ss"
